Text,Name,Url
Jenmora_ (They all default to Linux and it's real annoying,the K stands for potter,https://twitter.com/statuses/978338738794385408
"At the end of the day, remember that CRLF is bad when working with Linux just as case sensitive folder structures don't work on Windows (everything sucks in a way) and set your git settings to:

git config --global core.eol lf
git config --global core.autocrlf false

Fixed",Jan De Dobbeleer,https://twitter.com/statuses/978338687359602688
HOW TO CAPTURE SCREEN SHOT IN UBUNTU LINUX: https://t.co/1uc5BQA1iQ via @YouTube,anas sumair,https://twitter.com/statuses/978338683190362112
"Linux Command Line Basics

☞ https://t.co/RGGC1VNjSM 

#Linux #programming https://t.co/3WFfIcBAKw",Dev Geek,https://twitter.com/statuses/978338667172331520
"RT @MariusNestor: #Debian-Based Slax 9.4.0 #Linux Distro Adds Easier App Install Method, More Improvements https://t.co/Zet1ElVWfh #opensou…",Roberta Castro #iosonoantifascista,https://twitter.com/statuses/978338641159381000
"The way Teddy fans just keep quite ehh, 
Me ayam not unstandin oo
#BBNaija https://t.co/OoXHkwJP3l",Fran6_Bobby,https://twitter.com/statuses/978338618166083585
"RT @ZukaMedia: When someone ask's me if I like #Linux 🤣👏
#Cloud #IoT #BigData #Containers #Docker #javascript #DevOps #Programmer #php #lar…",Yusuke Sakai,https://twitter.com/statuses/978338613325742080
"RT @darksim905: hey fam.

If you use Linux, you should totally run 'curl https://t.co/5SUqpoOQQp'

You...you're welcome (I'm so sorry) http…",Harlin Seritt 🐍,https://twitter.com/statuses/978338490113867776
"RT @darksim905: hey fam.

If you use Linux, you should totally run 'curl https://t.co/5SUqpoOQQp'

You...you're welcome (I'm so sorry) http…",Lucas Marques,https://twitter.com/statuses/978338473638801409
"Now that I’ve earned my #Linux+, I have to rediscover free time",Matt Logan,https://twitter.com/statuses/978338468660047872
My Linux kernel version is 4.4.0-112-generic,Debian Server,https://twitter.com/statuses/978338435839725570
"RT @LookingForZA: 3rd Tier Support Technician
Umhlanga
Salary:R15k-R25K
Experience within telecommunications &amp; Microtek essential
Practical…",Pedi Persuation,https://twitter.com/statuses/978338410577518594
"RT @TheThroneOfLies: Someone turned this gnome with  a weird chin upside down.  I don't get it... ohh, it's the #Cult Leader.  Nevermind, m…",GentooBot,https://twitter.com/statuses/978338400511119360
